file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-06,270,150,3,123737,393908,2148,0,3,1172.97890228736
input-data-passengers-06,300,150,3,123737,404352,2259,0,3,1763.2373993447
input-data-passengers-06,150,150,4,149010,406038,2745,0,4,995.016643223574
input-data-passengers-06,180,150,4,149010,418583,2697,0,4,1466.31619076236
input-data-passengers-06,210,150,4,149010,431128,2605,0,4,1307.99706860417
input-data-passengers-06,240,150,4,149010,443680,2686,0,4,896.170378721917
input-data-passengers-06,270,150,4,149010,456212,2741,0,4,1685.59039235441
input-data-passengers-06,300,150,4,149010,468747,2698,0,4,1134.96583030489
input-data-passengers-06,150,150,5,180663,453963,2982,0,5,1325.82766517961
input-data-passengers-06,180,150,5,180666,468235,2995,0,5,1159.6415358983
input-data-passengers-06,210,150,5,180667,482520,3014,0,5,755.70616076031
input-data-passengers-06,240,150,5,180665,496799,3081,0,5,1432.92836528842
input-data-passengers-06,270,150,5,180688,511101,3032,0,5,946.942736703248
input-data-passengers-06,300,150,5,180666,525349,2974,0,5,1345.81426491071
input-data-passengers-06,150,150,6,262849,493369,3087,0,6,1278.06197639323
input-data-passengers-06,180,150,6,262845,507672,2993,0,6,1196.07619077387
input-data-passengers-06,210,150,6,262849,521986,3057,0,6,1130.42913305778
input-data-passengers-06,240,150,6,262848,536306,3030,0,6,1166.35766320014
input-data-passengers-06,270,150,6,262872,550602,2977,0,6,1278.68526846259
input-data-passengers-06,300,150,6,262849,564919,3076,0,6,1277.22671681102
input-data-passengers-06,150,150,7,247617,497473,3572,0,7,1200.14549627958
input-data-passengers-06,180,150,7,247618,513538,3445,0,7,866.797802260774
input-data-passengers-06,210,150,7,247617,529638,3362,0,7,931.400820078943
input-data-passengers-06,240,150,7,247617,545703,3472,0,7,1004.8746325919
input-data-passengers-06,270,150,7,247639,561666,3475,0,7,986.994376326352
input-data-passengers-06,300,150,7,247618,577755,3428,0,7,725.260104302666
input-data-passengers-06,150,150,8,287043,494622,3475,0,8,1004.4568719173
input-data-passengers-06,180,150,8,288157,511850,3379,0,8,1030.09131708689
input-data-passengers-06,210,150,8,287043,526844,3445,0,8,1212.73465125909
input-data-passengers-06,240,150,8,287044,542932,3394,0,8,921.899414600108
input-data-passengers-06,270,150,8,287069,558823,3518,0,8,1066.44090371405
input-data-passengers-06,300,150,8,287043,574898,3529,0,8,993.073857292472
input-data-passengers-06,150,150,9,323025,488112,3533,0,9,669.881249398067
